,integrator,node per second,optimizer tolerance,time,iter,objective function value,translation dynamic consistency,rotation dynamic consistency,linear velocity dynamic consistency,angular velocity dynamic consistency,dynamic consistency,constraints
0,RK4,50,0.01,1.9071919918060303,77.0,38.17448856835274,0.02032626805582276,0.02221494520520828,0.30867822160031744,0.02221494520520828,0.02129155893244512,1.1408727487636182e-06
1,RK4,50,1e-05,2.3408219814300537,79.0,38.171284754167885,0.01921133512839507,0.02102820520919213,0.2922103074711222,0.02102820520919213,0.02014026826702417,1.236003013480036e-09
2,RK4,50,1e-08,1.9881787300109863,79.0,38.171282880676436,0.0192105028612897,0.021027319391084376,0.2921980454410551,0.021027319391084376,0.020139408891006367,2.9745737123443305e-13
3,RK4,150,0.01,7.199483156204224,101.0,35.825075253189226,0.014288569728977796,0.015484636054611922,0.20807940084078735,0.015484636054611922,0.014898610315120804,-8.000171585365468e-09
4,RK4,150,1e-05,7.9803619384765625,108.0,35.818364081066264,0.01607414163287945,0.017443620366333068,0.23514256924923416,0.017443620366333068,0.016772863809120644,5.5126801561111716e-15
5,RK4,150,1e-08,8.718546867370605,123.0,35.81836223709212,0.016075477712870708,0.0174451068565169,0.2351632095267422,0.0174451068565169,0.016774276987880817,1.673628683557249e-15
6,RK4,250,0.01,14.723050117492676,127.0,35.72704232829761,8.151414577379186e-05,8.867087205999269e-05,0.001160804644487555,8.867087205999269e-05,8.516771545929415e-05,-2.3258387768683442e-08
7,RK4,250,1e-05,15.112416505813599,132.0,35.71135807724965,0.0001629657537441978,0.0001765568519807026,0.0023156018422286484,0.0001765568519807026,0.00016989726141811444,9.728353264290297e-11
8,RK4,250,1e-08,17.13888955116272,134.0,35.71135622580636,0.00016297987891860117,0.0001765721089204142,0.0023158028278728524,0.0001765721089204142,0.00016991196335297364,-1.9457458105658076e-14
9,RK8,50,0.01,4.997992515563965,75.0,38.16562863361472,0.018571124578516597,0.020329626131710743,0.2827172868274175,0.020329626131710743,0.01947023840077362,1.2234092404777262e-06
10,RK8,50,1e-05,5.279985427856445,77.0,38.16242188805701,0.01733813790287355,0.019017546807627905,0.26462059019286666,0.019017546807627905,0.018197226609010762,1.4980652426020702e-09
11,RK8,50,1e-08,5.241418838500977,78.0,38.162420008469866,0.017337215062006885,0.019016564826136673,0.26460708320648485,0.019016564826136673,0.01819627384786425,4.4256395423381e-13
12,RK8,150,0.01,19.27513337135315,100.0,35.81980039097784,0.015443823620070561,0.016747539522689703,0.22550206255999683,0.016747539522689703,0.016108875939554304,-6.54697432730841e-07
13,RK8,150,1e-05,19.15134358406067,104.0,35.81832411060822,0.016068342989429545,0.017437769244307955,0.2350625087010234,0.017437769244307955,0.01676704271247142,9.771182344145424e-15
14,RK8,150,1e-08,19.643049955368042,105.0,35.818322266630766,0.01606967189697508,0.01743924819727427,0.23508304521568046,0.01743924819727427,0.016768448535308275,1.210541541139809e-14
15,RK8,250,0.01,38.014615058898926,123.0,35.72703469265467,7.890070206129451e-05,8.585656484738635e-05,0.001123953383860482,8.585656484738635e-05,8.245201790483548e-05,-5.247264207623931e-08
16,RK8,250,1e-05,40.31108546257019,129.0,35.711354828721475,0.00016209665589987283,0.00017564413459014716,0.0023036508487322,0.00017564413459014716,0.00016900619496019,8.97337410946759e-11
