,integrator,node per second,optimizer tolerance,time,iter,objective function value,translation dynamic consistency,rotation dynamic consistency,linear velocity dynamic consistency,angular velocity dynamic consistency,dynamic consistency,constraints
17,RK8,250,1e-08,41.04605770111084,131.0,35.71135297592315,0.00016211028508081562,0.00017565886976722567,0.0023038449401079283,0.00017565886976722567,0.00016902038790761673,8.373266273051239e-15
18,CVODES,50,0.01,32.731714725494385,73.0,38.16332248806921,0.017946077554927067,0.019667398069105335,0.2734769330517639,0.019667398069105335,0.018826420881517883,1.0918016445776227e-07
19,CVODES,50,1e-05,34.011921405792236,76.0,38.16231240057617,0.017519656147216036,0.019215213145368004,0.26724787914405357,0.019215213145368004,0.01838698952708964,3.4733104647398e-10
20,CVODES,50,1e-08,33.744839906692505,76.0,38.16231151070315,0.017519232296049993,0.01921476214623885,0.2672416708334504,0.01921476214623885,0.018386551941289787,7.401623810886041e-12
21,CVODES,150,0.01,87.70451068878174,94.0,35.82244245882507,0.016190644104752266,0.01760631605078533,0.23712186556205972,0.01760631605078533,0.016913298338983005,-3.741350153661474e-07
22,CVODES,150,1e-05,87.42778086662292,98.0,35.81999043554909,0.016496064989895382,0.017949579705880847,0.24191415727239018,0.017949579705880847,0.01723814914323202,-7.411245132367136e-10
23,CVODES,150,1e-08,100.29267048835754,110.0,35.8199884889726,0.0164974023520717,0.017951066519641845,0.24193482594059157,0.017951066519641845,0.01723956312611702,-5.2528414180176533e-11
24,CVODES,250,0.01,167.1584632396698,129.0,35.72915721123423,0.0003944385270156174,0.00048038925220961204,0.005965359986728161,0.00048038925220961204,0.0004395199570171758,-8.245308864315349e-08
25,CVODES,250,1e-05,179.56029343605042,135.0,35.713330366165685,0.0004256128737452688,0.0005117754864767399,0.006394476991553696,0.0005117754864767399,0.000470669983563967,1.662931553100068e-09
26,CVODES,250,1e-08,175.82968616485596,135.0,35.713328370838916,0.00042558926152013187,0.0005117514215977614,0.006394164213256892,0.0005117514215977614,0.00047064622437058864,4.171841458361528e-12
27,IRK,50,0.01,3.8410491943359375,104.0,37.99414805552905,0.02394357985513573,0.023986458662458077,0.25678404856169296,0.023986458662458077,0.023965028848773287,2.2119735581713727e-08
28,IRK,50,1e-05,3.840747356414795,106.0,37.99115494740186,0.024040105720506685,0.024090537575350623,0.257856517176534,0.024090537575350623,0.024065334858697877,1.012940183120481e-10
29,IRK,50,1e-08,3.0267229080200195,79.0,40.587179249730625,0.03295225320887732,0.033854545537441716,0.3161186361933588,0.033854545537441716,0.03340644582328896,4.879495245357912e-14
30,IRK,150,0.01,12.547679901123047,118.0,35.81953128879177,0.015481847527678477,0.016791196903267025,0.22610471309189073,0.016791196903267025,0.016149797155298396,7.976819333267281e-09
31,IRK,150,1e-05,12.77727484703064,121.0,35.818248796785426,0.0161020370864046,0.017476686354987336,0.2356035379189081,0.017476686354987336,0.016803424714660842,5.567093552642788e-15
32,IRK,150,1e-08,9.53364634513855,98.0,35.81824695278994,0.016103237800658574,0.01747802763512807,0.23562217784576212,0.01747802763512807,0.016804697522997247,-3.458877336024596e-14
33,IRK,250,0.01,17.22536873817444,104.0,35.73144353878032,3.127976241184351e-05,3.59420162392432e-05,0.00046639302920570974,3.59420162392432e-05,3.369163151201942e-05,-3.928561241593656e-07
34,IRK,250,1e-05,18.725597858428955,114.0,35.71135541933726,0.00016222754452293494,0.00017578107348592553,0.002305446620297684,0.00017578107348592553,0.00016914012238053572,7.912943453319756e-11
35,IRK,250,1e-08,19.225211143493652,116.0,35.71135356538351,0.00016224083026314433,0.00017579544875001574,0.0023056359581311095,0.00017579544875001574,0.0001691539636037149,-2.7792075959391996e-14
36,COLLOCATION_legendre_3,50,0.01,1.255030632019043,58.0,50.834629720692675,0.21371853679523578,0.2266860096140948,1.7448178089756992,0.2266860096140948,0.22029770757393055,-6.537059298278129e-09
37,COLLOCATION_legendre_3,50,1e-05,1.3590853214263916,60.0,50.83353490845335,0.2138354294923776,0.2268118680925535,1.745606375864523,0.2268118680925535,0.22041916252202698,-4.862027664156998e-13
38,COLLOCATION_legendre_3,50,1e-08,1.3248043060302734,61.0,50.83353306486785,0.21383569901216704,0.22681216105737612,1.7456083262124507,0.22681216105737612,0.22041944398752486,-9.451369808316512e-13
39,COLLOCATION_legendre_3,150,0.01,10.253653764724731,155.0,35.88613377693096,0.006060444009172287,0.006569497605697805,0.08689259694043128,0.006569497605697805,0.006320098115519309,7.881020902525873e-06
40,COLLOCATION_legendre_3,150,1e-05,10.737847328186035,162.0,35.819340266297225,0.01231508535269197,0.013336700624424935,0.1786091798677425,0.013336700624424935,0.01283606074287639,2.198560132031708e-10
41,COLLOCATION_legendre_3,150,1e-08,11.023967742919922,164.0,35.81933837080207,0.012309217992246288,0.013330340148454578,0.1785221447720644,0.013330340148454578,0.012829941855950473,1.0848673135776653e-13
42,COLLOCATION_legendre_3,250,0.01,11.073395729064941,96.0,35.85912306994056,0.00023442488975800534,0.0002559238335950731,0.003340171626700264,0.0002559238335950731,0.00024540989949475514,3.3398052861157747e-09
43,COLLOCATION_legendre_3,250,1e-05,11.584286451339722,105.0,35.711344977681115,0.00017341913770184788,0.00018805537399302352,0.0024668432797753034,0.00018805537399302352,0.00018088535182389482,5.92399310114539e-11
44,COLLOCATION_legendre_3,250,1e-08,17.5221266746521,154.0,35.71134316238433,0.0001747116737639079,0.00018945172971873703,0.0024852168038868305,0.00018945172971873703,0.00018223079712662122,3.1780680924365853e-13
45,COLLOCATION_legendre_9,50,0.01,5.802255868911743,112.0,38.17656553095162,0.022719612155477176,0.024744711665402708,0.34411063481074233,0.024744711665402708,0.023753752670885742,-0.00012015646084612917
46,COLLOCATION_legendre_9,50,1e-05,5.893990516662598,116.0,38.163128793809015,0.021088699285423222,0.02300952388973343,0.3197236859586834,0.02300952388973343,0.02207001843206325,-1.957759207299372e-10
47,COLLOCATION_legendre_9,50,1e-08,6.08769679069519,118.0,38.163126923496286,0.021114946440222326,0.023037454143899794,0.320111142426315,0.023037454143899794,0.022097118099491424,-6.226441379901613e-13
48,COLLOCATION_legendre_9,150,0.01,21.89270043373108,119.0,36.07143818411495,0.00019712505317517654,0.00022369633584284898,0.002887993188350313,0.00022369633584284898,0.00021082971476861707,-1.1663926296965834e-05
49,COLLOCATION_legendre_9,150,1e-05,22.441661596298218,128.0,35.81891590712548,0.015202543088044036,0.016484004965682697,0.22186524162426235,0.016484004965682697,0.015856224898324434,8.341329127362293e-10
50,COLLOCATION_legendre_9,150,1e-08,19.52262020111084,118.0,35.81891368635588,0.015197209536919921,0.016478162062768753,0.22178468597773748,0.016478162062768753,0.01585063094447538,6.095712157119044e-13
51,COLLOCATION_legendre_9,250,0.01,64.57249474525452,158.0,35.81887366726829,5.583497539118579e-05,6.355414333647502e-05,0.0008256295610330894,6.355414333647502e-05,5.981920098165611e-05,2.5586377761245526e-06
52,COLLOCATION_legendre_9,250,1e-05,76.62389707565308,174.0,35.71137827155091,0.00017619410482541683,0.0001908704773181391,0.00250394227879569,0.0001908704773181391,0.0001836789341308418,4.244610547495453e-09
53,COLLOCATION_legendre_9,250,1e-08,90.47038912773132,197.0,35.711376646260085,0.0001792927932288241,0.0001942180458827103,0.0025479914100308004,0.0001942180458827103,0.00018690446095571454,1.4217950986239324e-11
